occupation_link_text,url,group,slug
Actuarial Associate,https://www.bls.gov/ooh/math/actuaries.htm,math,actuaries
Acute Care Nurse Practitioner,https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,healthcare,nurse-anesthetists-nurse-midwives-and-nurse-practitioners
Addiction Counselor,https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,community-and-social-service,substance-abuse-behavioral-disorder-and-mental-health-counselors
Addiction Psychiatrist,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,healthcare,physicians-and-surgeons
Addictions Counselor Assistant,https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm,community-and-social-service,social-and-human-service-assistants
Administrative Clerk,https://www.bls.gov/ooh/office-and-administrative-support/general-office-clerks.htm,office-and-administrative-support,general-office-clerks
Administrative Court Justice,https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,legal,judges-and-hearing-officers
Administrative services and facilities managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm,management,administrative-services-managers
Admiral,https://www.bls.gov/ooh/management/top-executives.htm,management,top-executives
Admissions Counselor,https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,community-and-social-service,school-and-career-counselors
Admitting Interviewer,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,office-and-administrative-support,information-clerks
Adobe Layer,https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,construction-and-extraction,brickmasons-blockmasons-and-stonemasons
Adobe Layer Helper,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,construction-and-extraction,construction-laborers-and-helpers
Adult basic and secondary education and ESL teachers,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,education-training-and-library,adult-literacy-and-ged-teachers
Adult ESL Teacher Aide,https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,education-training-and-library,teacher-assistants
Adult Protective Service Social Worker,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,community-and-social-service,social-workers
"Advertising, promotions, and marketing managers",https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,management,advertising-promotions-and-marketing-managers
Advertising Account Executive,https://www.bls.gov/ooh/sales/advertising-sales-agents.htm,sales,advertising-sales-agents
Advertising Analyst,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,business-and-financial,market-research-analysts
Advertising Copywriter,https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,media-and-communication,writers-and-authors
Advertising Editor,https://www.bls.gov/ooh/media-and-communication/editors.htm,media-and-communication,editors
Advertising Photographer,https://www.bls.gov/ooh/media-and-communication/photographers.htm,media-and-communication,photographers
Aerial Crop Duster,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,transportation-and-material-moving,airline-and-commercial-pilots
Aerobics Instructor,https://www.bls.gov/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm,personal-care-and-service,fitness-trainers-and-instructors
Aerodynamics Engineer,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,architecture-and-engineering,aerospace-engineers
Aeronautical Drafter,https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,architecture-and-engineering,drafters
