group,slug,url,status
entertainment-and-sports,umpires-referees-and-other-sports-officials,https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm,cached
healthcare,athletic-trainers,https://www.bls.gov/ooh/healthcare/athletic-trainers.htm,cached
life-physical-and-social-science,atmospheric-scientists-including-meteorologists,https://www.bls.gov/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm,cached
architecture-and-engineering,nuclear-engineers,https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm,cached
media-and-communication,broadcast-and-sound-engineering-technicians,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,cached
healthcare,audiologists,https://www.bls.gov/ooh/healthcare/audiologists.htm,cached
personal-care-and-service,childcare-workers,https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm,cached
installation-maintenance-and-repair,automotive-body-and-glass-repairers,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,cached
transportation-and-material-moving,heavy-and-tractor-trailer-truck-drivers,https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,cached
installation-maintenance-and-repair,automotive-service-technicians-and-mechanics,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-service-technicians-and-mechanics.htm,cached
business-and-financial,claims-adjusters-appraisers-examiners-and-investigators,https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,cached
computer-and-information-technology,database-administrators,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,cached
business-and-financial,insurance-underwriters,https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,cached
arts-and-design,industrial-designers,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,cached
production,machinists-and-tool-and-die-makers,https://www.bls.gov/ooh/production/machinists-and-tool-and-die-makers.htm,cached
architecture-and-engineering,materials-engineers,https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,cached
healthcare,medical-assistants,https://www.bls.gov/ooh/healthcare/medical-assistants.htm,cached
architecture-and-engineering,mechanical-engineers,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,cached
sales,travel-agents,https://www.bls.gov/ooh/sales/travel-agents.htm,cached
production,woodworkers,https://www.bls.gov/ooh/production/woodworkers.htm,cached
life-physical-and-social-science,microbiologists,https://www.bls.gov/ooh/life-physical-and-social-science/microbiologists.htm,cached
life-physical-and-social-science,biological-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/biological-technicians.htm,cached
production,bakers,https://www.bls.gov/ooh/production/bakers.htm,cached
installation-maintenance-and-repair,industrial-machinery-mechanics-and-maintenance-workers-and-millwrights,https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,cached
entertainment-and-sports,dancers-and-choreographers,https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm,cached
life-physical-and-social-science,forensic-science-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm,cached
management,financial-managers,https://www.bls.gov/ooh/management/financial-managers.htm,cached
business-and-financial,financial-examiners,https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,cached
office-and-administrative-support,financial-clerks,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,cached
office-and-administrative-support,tellers,https://www.bls.gov/ooh/office-and-administrative-support/tellers.htm,cached
food-preparation-and-serving,chefs-and-head-cooks,https://www.bls.gov/ooh/food-preparation-and-serving/chefs-and-head-cooks.htm,cached
food-preparation-and-serving,cooks,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,cached
management,food-service-managers,https://www.bls.gov/ooh/management/food-service-managers.htm,cached
food-preparation-and-serving,food-and-beverage-serving-and-related-workers,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,cached
personal-care-and-service,barbers-hairstylists-and-cosmetologists,https://www.bls.gov/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm,cached
food-preparation-and-serving,bartenders,https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm,cached
protective-service,recreational-protective-service-workers,https://www.bls.gov/ooh/protective-service/recreational-protective-service-workers.htm,cached
construction-and-extraction,carpenters,https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,cached
office-and-administrative-support,material-recording-clerks,https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,cached
management,lodging-managers,https://www.bls.gov/ooh/management/lodging-managers.htm,cached
production,butchers-and-meat-cutters,https://www.bls.gov/ooh/production/butchers-and-meat-cutters.htm,cached
healthcare,psychiatric-technicians-and-aides,https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm,cached
business-and-financial,compensation-benefits-and-job-analysis-specialists,https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,cached
architecture-and-engineering,biomedical-engineers,https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,cached
life-physical-and-social-science,biochemists-and-biophysicists,https://www.bls.gov/ooh/life-physical-and-social-science/biochemists-and-biophysicists.htm,cached
healthcare,clinical-laboratory-technologists-and-technicians,https://www.bls.gov/ooh/healthcare/clinical-laboratory-technologists-and-technicians.htm,cached
installation-maintenance-and-repair,diesel-service-technicians-and-mechanics,https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm,cached
life-physical-and-social-science,geographers,https://www.bls.gov/ooh/life-physical-and-social-science/geographers.htm,cached
installation-maintenance-and-repair,medical-equipment-repairers,https://www.bls.gov/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm,cached
healthcare,home-health-aides-and-personal-care-aides,https://www.bls.gov/ooh/healthcare/home-health-aides-and-personal-care-aides.htm,cached
transportation-and-material-moving,delivery-truck-drivers-and-driver-sales-workers,https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,cached
construction-and-extraction,insulation-workers,https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,cached
production,stationary-engineers-and-boiler-operators,https://www.bls.gov/ooh/production/stationary-engineers-and-boiler-operators.htm,cached
construction-and-extraction,boilermakers,https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,cached
media-and-communication,reporters-correspondents-and-broadcast-news-analysts,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,cached
arts-and-design,craft-and-fine-artists,https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,cached
education-training-and-library,library-technicians-and-assistants,https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,cached
protective-service,police-and-detectives,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,cached
sales,wholesale-and-manufacturing-sales-representatives,https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm,cached
business-and-financial,loan-officers,https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,cached
construction-and-extraction,structural-iron-and-steel-workers,https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,cached
construction-and-extraction,painters-construction-and-maintenance,https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,cached
entertainment-and-sports,producers-and-directors,https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm,cached
business-and-financial,budget-analysts,https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,cached
building-and-grounds-cleaning,janitors-and-building-cleaners,https://www.bls.gov/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm,cached
installation-maintenance-and-repair,general-maintenance-and-repair-workers,https://www.bls.gov/ooh/installation-maintenance-and-repair/general-maintenance-and-repair-workers.htm,cached
office-and-administrative-support,postal-service-workers,https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm,cached
transportation-and-material-moving,bus-drivers,https://www.bls.gov/ooh/transportation-and-material-moving/bus-drivers.htm,cached
business-and-financial,management-analysts,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,cached
math,data-scientists,https://www.bls.gov/ooh/math/data-scientists.htm,cached
healthcare,nursing-assistants,https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,cached
installation-maintenance-and-repair,telecommunications-equipment-installers-and-repairers-except-line-installers,https://www.bls.gov/ooh/installation-maintenance-and-repair/telecommunications-equipment-installers-and-repairers-except-line-installers.htm,cached
architecture-and-engineering,cartographers-and-photogrammetrists,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,cached
installation-maintenance-and-repair,calibration-technologists-and-technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm,cached
business-and-financial,fundraisers,https://www.bls.gov/ooh/business-and-financial/fundraisers.htm,cached
personal-care-and-service,recreation-workers,https://www.bls.gov/ooh/personal-care-and-service/recreation-workers.htm,cached
healthcare,health-information-technologists-and-medical-registrars,https://www.bls.gov/ooh/healthcare/health-information-technologists-and-medical-registrars.htm,cached
life-physical-and-social-science,medical-scientists,https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm,cached
healthcare,diagnostic-medical-sonographers,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,cached
healthcare,cardiovascular-technologists-and-technicians,https://www.bls.gov/ooh/healthcare/cardiovascular-technologists-and-technicians.htm,cached
healthcare,physical-therapists,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,cached
construction-and-extraction,tile-and-marble-setters,https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,cached
architecture-and-engineering,surveying-and-mapping-technicians,https://www.bls.gov/ooh/architecture-and-engineering/surveying-and-mapping-technicians.htm,cached
sales,cashiers,https://www.bls.gov/ooh/sales/cashiers.htm,cached
business-and-financial,purchasing-managers-buyers-and-purchasing-agents,https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,cached
healthcare,registered-nurses,https://www.bls.gov/ooh/healthcare/registered-nurses.htm,cached
healthcare,dental-assistants,https://www.bls.gov/ooh/healthcare/dental-assistants.htm,cached
protective-service,correctional-officers,https://www.bls.gov/ooh/protective-service/correctional-officers.htm,cached
community-and-social-service,health-educators,https://www.bls.gov/ooh/community-and-social-service/health-educators.htm,cached
business-and-financial,personal-financial-advisors,https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm,cached
healthcare,genetic-counselors,https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,cached
healthcare,occupational-health-and-safety-specialists-and-technicians,https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm,cached
arts-and-design,interior-designers,https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,cached
protective-service,private-detectives-and-investigators,https://www.bls.gov/ooh/protective-service/private-detectives-and-investigators.htm,cached
healthcare,medical-dosimetrists,https://www.bls.gov/ooh/healthcare/medical-dosimetrists.htm,cached
healthcare,medical-transcriptionists,https://www.bls.gov/ooh/healthcare/medical-transcriptionists.htm,cached
business-and-financial,meeting-convention-and-event-planners,https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,cached
personal-care-and-service,funeral-service-occupations,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,cached
healthcare,nuclear-medicine-technologists,https://www.bls.gov/ooh/healthcare/nuclear-medicine-technologists.htm,cached
healthcare,occupational-therapy-assistants-and-aides,https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,cached
healthcare,opticians-dispensing,https://www.bls.gov/ooh/healthcare/opticians-dispensing.htm,cached
building-and-grounds-cleaning,grounds-maintenance-workers,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,cached
healthcare,pharmacy-technicians,https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm,cached
healthcare,phlebotomists,https://www.bls.gov/ooh/healthcare/phlebotomists.htm,cached
healthcare,recreational-therapists,https://www.bls.gov/ooh/healthcare/recreational-therapists.htm,cached
community-and-social-service,rehabilitation-counselors,https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm,cached
